Субъект РФ;Вид обращения;Количество записей;%
Пермский край;Call center;1575;0.30
Пермский край;АРМ медработника;4043;0.76
Пермский край;Прочие;8987;1.69
Пермский край;Записей не через ЕПГУ;422681;79.51
Пермский край;Всего записей;531625;100.00
Приморский край;EПГУ;27632;27.54
Приморский край;РПГУ;;
Приморский край;Регистратура;11723;11.69
Приморский край;Инфомат;2904;2.89
Приморский край;Call center;57989;57.80
Приморский край;АРМ медработника;;
Приморский край;Прочие;73;0.07
Приморский край;Записей не через ЕПГУ;72689;72.46
Приморский край;Всего записей;100321;100.00
Псковская область;EПГУ;3796;41.38
Псковская область;РПГУ;12;0.13
Псковская область;Регистратура;5358;58.40
Псковская область;Инфомат;8;0.09
Псковская область;Call center;;
Псковская область;АРМ медработника;;
Псковская область;Прочие;;
Псковская область;Записей не через ЕПГУ;5378;58.62
Псковская область;Всего записей;9174;100.00
Республика Адыгея;EПГУ;2124;20.35
Республика Адыгея;РПГУ;963;9.23
Республика Адыгея;Регистратура;7017;67.24
Республика Адыгея;Инфомат;218;2.09
Республика Адыгея;Call center;;
Республика Адыгея;АРМ медработника;;
Республика Адыгея;Прочие;114;1.09
Республика Адыгея;Записей не через ЕПГУ;8312;79.65
Республика Адыгея;Всего записей;10436;100.00
Республика Алтай;EПГУ;113;12.30
Республика Алтай;РПГУ;112;12.19
Республика Алтай;Регистратура;227;24.70
Республика Алтай;Инфомат;15;1.63
Республика Алтай;Call center;399;43.42
Республика Алтай;АРМ медработника;53;5.77
Республика Алтай;Прочие;;
Республика Алтай;Записей не через ЕПГУ;806;87.70
Республика Алтай;Всего записей;919;100.00
Республика Башкортостан;EПГУ;60652;34.36
Республика Башкортостан;РПГУ;4798;2.72
Республика Башкортостан;Регистратура;102831;58.26
Республика Башкортостан;Инфомат;253;0.14
Республика Башкортостан;Call center;4349;2.46
Республика Башкортостан;АРМ медработника;780;0.44
Республика Башкортостан;Прочие;2854;1.62
Республика Башкортостан;Записей не через ЕПГУ;115865;65.64
Республика Башкортостан;Всего записей;176517;100.00
Республика Бурятия;EПГУ;10532;30.01
Республика Бурятия;РПГУ;29;0.08
Республика Бурятия;Регистратура;920;2.62
Республика Бурятия;Инфомат;1;0.00
Республика Бурятия;Call center;22476;64.04
Республика Бурятия;АРМ медработника;1;0.00
Республика Бурятия;Прочие;1138;3.24
Республика Бурятия;Записей не через ЕПГУ;24565;69.99
Республика Бурятия;Всего записей;35097;100.00
Республика Дагестан;EПГУ;959;46.26
Республика Дагестан;РПГУ;6;0.29
Республика Дагестан;Регистратура;17;0.82
Республика Дагестан;Инфомат;1089;52.53
Республика Дагестан;Call center;;
Республика Дагестан;АРМ медработника;1;0.05
Республика Дагестан;Прочие;1;0.05
Республика Дагестан;Записей не через ЕПГУ;1114;53.74
Республика Дагестан;Всего записей;2073;100.00
Республика Ингушетия;EПГУ;92;94.85
Республика Ингушетия;РПГУ;;
Республика Ингушетия;Регистратура;5;5.15
Республика Ингушетия;Инфомат;;
Республика Ингушетия;Call center;;
Республика Ингушетия;АРМ медработника;;
Республика Ингушетия;Прочие;;
Республика Ингушетия;Записей не через ЕПГУ;5;5.15
Республика Ингушетия;Всего записей;97;100.00
Республика Калмыкия;EПГУ;3110;45.28
Республика Калмыкия;РПГУ;224;3.26
Республика Калмыкия;Регистратура;15;0.22
Республика Калмыкия;Инфомат;;
Республика Калмыкия;Call center;2516;36.63
Республика Калмыкия;АРМ медработника;1003;14.60
Республика Калмыкия;Прочие;;
Республика Калмыкия;Записей не через ЕПГУ;3758;54.72
Республика Калмыкия;Всего записей;6868;100.00
Республика Карелия;EПГУ;15358;30.43
Республика Карелия;РПГУ;3441;6.82
Республика Карелия;Регистратура;28882;57.22
Республика Карелия;Инфомат;63;0.12
Республика Карелия;Call center;37;0.07
Республика Карелия;АРМ медработника;1222;2.42
Республика Карелия;Прочие;1468;2.91
Республика Карелия;Записей не через ЕПГУ;35113;69.57
Республика Карелия;Всего записей;50471;100.00
Республика Коми;EПГУ;15919;23.34
Республика Коми;РПГУ;3567;5.23
Республика Коми;Регистратура;38832;56.93
Республика Коми;Инфомат;522;0.77
Республика Коми;Call center;7846;11.50
Республика Коми;АРМ медработника;1382;2.03
Республика Коми;Прочие;137;0.20
Республика Коми;Записей не через ЕПГУ;52286;76.66
Республика Коми;Всего записей;68205;100.00
Республика Крым;EПГУ;24278;18.71
Республика Крым;РПГУ;162;0.12
Республика Крым;Регистратура;104948;80.86
Республика Крым;Инфомат;1;0.00
Республика Крым;Call center;70;0.05
Республика Крым;АРМ медработника;2;0.00
Республика Крым;Прочие;329;0.25
Республика Крым;Записей не через ЕПГУ;105512;81.29
Республика Крым;Всего записей;129790;100.00
Республика Марий Эл;EПГУ;5638;17.26
Республика Марий Эл;РПГУ;4955;15.17
Республика Марий Эл;Регистратура;19008;58.20
Республика Марий Эл;Инфомат;451;1.38
Республика Марий Эл;Call center;599;1.83
Республика Марий Эл;АРМ медработника;84;0.26
Республика Марий Эл;Прочие;1925;5.89
Республика Марий Эл;Записей не через ЕПГУ;27022;82.74
Республика Марий Эл;Всего записей;32660;100.00
Республика Мордовия;EПГУ;10869;100.00
Республика Мордовия;РПГУ;;
Республика Мордовия;Регистратура;;
Республика Мордовия;Инфомат;;
Республика Мордовия;Call center;;
Республика Мордовия;АРМ медработника;;
Республика Мордовия;Прочие;;
Республика Мордовия;Записей не через ЕПГУ;;
Республика Мордовия;Всего записей;10869;100.00
Республика Саха (Якутия);EПГУ;3440;52.94
Республика Саха (Якутия);РПГУ;;
Республика Саха (Якутия);Регистратура;946;14.56
Республика Саха (Якутия);Инфомат;;
Республика Саха (Якутия);Call center;132;2.03
Республика Саха (Якутия);АРМ медработника;536;8.25
Республика Саха (Якутия);Прочие;1444;22.22
Республика Саха (Якутия);Записей не через ЕПГУ;3058;47.06
Республика Саха (Якутия);Всего записей;6498;100.00
Республика Северная Осетия - Алания;EПГУ;2701;96.95
Республика Северная Осетия - Алания;РПГУ;;
Республика Северная Осетия - Алания;Регистратура;85;3.05
Республика Северная Осетия - Алания;Инфомат;;
Республика Северная Осетия - Алания;Call center;;
Республика Северная Осетия - Алания;АРМ медработника;;
Республика Северная Осетия - Алания;Прочие;;
Республика Северная Осетия - Алания;Записей не через ЕПГУ;85;3.05
Республика Северная Осетия - Алания;Всего записей;2786;100.00
Республика Татарстан;EПГУ;53211;61.00
Республика Татарстан;РПГУ;10365;11.88
Республика Татарстан;Регистратура;20117;23.06
Республика Татарстан;Инфомат;2631;3.02
Республика Татарстан;Call center;408;0.47
Республика Татарстан;АРМ медработника;494;0.57
Республика Татарстан;Прочие;;
Республика Татарстан;Записей не через ЕПГУ;34015;39.00
Республика Татарстан;Всего записей;87226;100.00
Республика Тыва;EПГУ;5387;100.00
Республика Тыва;РПГУ;;
Республика Тыва;Регистратура;;
Республика Тыва;Инфомат;;
Республика Тыва;Call center;;
Республика Тыва;АРМ медработника;;
Республика Тыва;Прочие;;
Республика Тыва;Записей не через ЕПГУ;;
Республика Тыва;Всего записей;5387;100.00
Республика Хакасия;EПГУ;10055;47.35
Республика Хакасия;РПГУ;7;0.03
Республика Хакасия;Регистратура;10293;48.47
Республика Хакасия;Инфомат;3;0.01
Республика Хакасия;Call center;;
Республика Хакасия;АРМ медработника;;
Республика Хакасия;Прочие;877;4.13
Республика Хакасия;Записей не через ЕПГУ;11180;52.65
Республика Хакасия;Всего записей;21235;100.00
Ростовская область;EПГУ;38645;37.65
Ростовская область;РПГУ;1665;1.62
Ростовская область;Регистратура;33407;32.54
Ростовская область;Инфомат;24;0.02
Ростовская область;Call center;15800;15.39
Ростовская область;АРМ медработника;13112;12.77
Ростовская область;Прочие;;
Ростовская область;Записей не через ЕПГУ;64008;62.35
Ростовская область;Всего записей;102653;100.00
Рязанская область;EПГУ;25174;77.13
Рязанская область;РПГУ;;
Рязанская область;Регистратура;5280;16.18
Рязанская область;Инфомат;382;1.17
Рязанская область;Call center;14;0.04
Рязанская область;АРМ медработника;1788;5.48
Рязанская область;Прочие;;
Рязанская область;Записей не через ЕПГУ;7464;22.87
Рязанская область;Всего записей;32638;100.00
Самарская область;EПГУ;79224;31.90
Самарская область;РПГУ;2656;1.07
Самарская область;Регистратура;27352;11.01
Самарская область;Инфомат;1;0.00
Самарская область;Call center;101618;40.92
Самарская область;АРМ медработника;37488;15.10
Самарская область;Прочие;;
Самарская область;Записей не через ЕПГУ;169115;68.10
Самарская область;Всего записей;248339;100.00
Санкт-Петербург;EПГУ;250839;19.01
Санкт-Петербург;РПГУ;238408;18.07
Санкт-Петербург;Регистратура;265987;20.16
Санкт-Петербург;Инфомат;23898;1.81
Санкт-Петербург;Call center;201240;15.25
Санкт-Петербург;АРМ медработника;339171;25.70
Санкт-Петербург;Прочие;;
Санкт-Петербург;Записей не через ЕПГУ;1068704;80.99
Санкт-Петербург;Всего записей;1319543;100.00
Саратовская область;EПГУ;36763;18.76
Саратовская область;РПГУ;753;0.38
Саратовская область;Регистратура;74210;37.87
Саратовская область;Инфомат;;
Саратовская область;Call center;32744;16.71
Саратовская область;АРМ медработника;51490;26.28
Саратовская область;Прочие;;
Саратовская область;Записей не через ЕПГУ;159197;81.24
Саратовская область;Всего записей;195960;100.00
Сахалинская область;EПГУ;3474;6.87
Сахалинская область;РПГУ;4711;9.31
Сахалинская область;Регистратура;2474;4.89
Сахалинская область;Инфомат;31157;61.59
Сахалинская область;Call center;117;0.23
Сахалинская область;АРМ медработника;8656;17.11
Сахалинская область;Прочие;;
Сахалинская область;Записей не через ЕПГУ;47115;93.13
Сахалинская область;Всего записей;50589;100.00
Свердловская область;EПГУ;126818;51.69
Свердловская область;РПГУ;5225;2.13
Свердловская область;Регистратура;75797;30.89
Свердловская область;Инфомат;5665;2.31
Свердловская область;Call center;14627;5.96
Свердловская область;АРМ медработника;17235;7.02
Свердловская область;Прочие;;
Свердловская область;Записей не через ЕПГУ;118549;48.31
Свердловская область;Всего записей;245367;100.00
Севастополь;EПГУ;20296;38.22
Севастополь;РПГУ;76;0.14
Севастополь;Регистратура;30096;56.68
Севастополь;Инфомат;3;0.01
Севастополь;Call center;578;1.09
Севастополь;АРМ медработника;2050;3.86
Севастополь;Прочие;;
Севастополь;Записей не через ЕПГУ;32803;61.78
Севастополь;Всего записей;53099;100.00
Смоленская область;EПГУ;8850;100.00
Смоленская область;РПГУ;;
Смоленская область;Регистратура;;
Смоленская область;Инфомат;;
Смоленская область;Call center;;
Смоленская область;АРМ медработника;;
Смоленская область;Прочие;;
Смоленская область;Записей не через ЕПГУ;;
Смоленская область;Всего записей;8850;100.00
Ставропольский край;EПГУ;1741;47.65
Ставропольский край;РПГУ;71;1.94
Ставропольский край;Регистратура;1842;50.41
Ставропольский край;Инфомат;;
Ставропольский край;Call center;;
Ставропольский край;АРМ медработника;;
Ставропольский край;Прочие;;
Ставропольский край;Записей не через ЕПГУ;1913;52.35
Ставропольский край;Всего записей;3654;100.00
Тамбовская область;EПГУ;9923;9.49
Тамбовская область;РПГУ;3003;2.87
Тамбовская область;Регистратура;6389;6.11
Тамбовская область;Инфомат;107;0.10
Тамбовская область;Call center;51806;49.57
Тамбовская область;АРМ медработника;32539;31.13
Тамбовская область;Прочие;749;0.72
Тамбовская область;Записей не через ЕПГУ;94593;90.51
Тамбовская область;Всего записей;104516;100.00
Тверская область;EПГУ;17637;12.38
Тверская область;РПГУ;1692;1.19
Тверская область;Регистратура;23463;16.48
Тверская область;Инфомат;;
Тверская область;Call center;62000;43.54
Тверская область;АРМ медработника;37620;26.42
Тверская область;Прочие;;
Тверская область;Записей не через ЕПГУ;124775;87.62
Тверская область;Всего записей;142412;100.00
Томская область;EПГУ;28090;80.29
Томская область;РПГУ;20;0.06
Томская область;Регистратура;6868;19.63
Томская область;Инфомат;;
Томская область;Call center;7;0.02
Томская область;АРМ медработника;1;0.00
Томская область;Прочие;;
Томская область;Записей не через ЕПГУ;6896;19.71
Томская область;Всего записей;34986;100.00
Тульская область;EПГУ;32568;9.18
Тульская область;РПГУ;5497;1.55
Тульская область;Регистратура;51816;14.61
Тульская область;Инфомат;27355;7.71
Тульская область;Call center;8593;2.42
Тульская область;АРМ медработника;;
Тульская область;Прочие;228834;64.52
Тульская область;Записей не через ЕПГУ;322095;90.82
Тульская область;Всего записей;354663;100.00
Тюменская область;EПГУ;34046;45.17
Тюменская область;РПГУ;1;0.00
Тюменская область;Регистратура;14743;19.56
Тюменская область;Инфомат;;
Тюменская область;Call center;26580;35.26
Тюменская область;АРМ медработника;;
Тюменская область;Прочие;5;0.01
Тюменская область;Записей не через ЕПГУ;41329;54.83
Тюменская область;Всего записей;75375;100.00
Удмуртская Республика;EПГУ;28764;84.86
Удмуртская Республика;РПГУ;45;0.13
Удмуртская Республика;Регистратура;3442;10.16
Удмуртская Республика;Инфомат;65;0.19
Удмуртская Республика;Call center;;
Удмуртская Республика;АРМ медработника;;
Удмуртская Республика;Прочие;1578;4.66
Удмуртская Республика;Записей не через ЕПГУ;5130;15.14
Удмуртская Республика;Всего записей;33894;100.00
Ульяновская область;EПГУ;17689;57.17
Ульяновская область;РПГУ;212;0.69
Ульяновская область;Регистратура;7529;24.33
Ульяновская область;Инфомат;4259;13.77
Ульяновская область;Call center;1249;4.04
Ульяновская область;АРМ медработника;2;0.01
Ульяновская область;Прочие;;
Ульяновская область;Записей не через ЕПГУ;13251;42.83
Ульяновская область;Всего записей;30940;100.00
Хабаровский край;EПГУ;8995;100.00
Хабаровский край;РПГУ;;
Хабаровский край;Регистратура;;
Хабаровский край;Инфомат;;
Хабаровский край;Call center;;
Хабаровский край;АРМ медработника;;
Хабаровский край;Прочие;;
